Qty,Component,Category,Price ($),Buy_Link,Notes
1,Seeed XIAO ESP32-C6,Electronics,$5.20,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C6-p-5884.html,MCU
1,BME680 Breakout Module,Electronics,$13.99,https://www.amazon.com/HiLetgo-Temperature-Precision-Environmental-Monitoring/dp/B0CDWXZNY7,Enciromental sensor
1,Waveshare 2.9 inch E-Paper Module V2 SSD1680,Electronics,$21.99,https://www.waveshare.com/product/displays/e-paper/2.9inch-e-paper-module.htm,296x128 monochrome e-paper display
1,JST PH 2.0mm 8-Pin SMT Header,Electronics,~$1.00,-,For the PCB
1,JST PH 2.0mm 8-Pin Cable,Electronics,~$2.00,-,Connecting the PCB to the display
4,M3 x 20mm Screw,Hardware,~$2.00,-,Securing the PCB
4,M3 x 6mm Screw,Hardware,~$2.00,-,Securing the case
4,M3 Standoff,Hardware,~$1.00,-,PCB/display spacers
1,3D Printed Enclosure,Mechanical,~$5.00,-,PLA or PETG enclosure
